Time 1: PC=0x085 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 1154: PC=0x00F instruction = 0x205 (TAD), rA = 0x052, rL = 0
Time 1155: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x052, rL = 0
Time 1157: PC=0x012 instruction = 0x404 (ISZ), rA = 0x052, rL = 0
Time 1159: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 1160: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 0
Time 1162: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 1163: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 1165: PC=0x00F instruction = 0x205 (TAD), rA = 0x048, rL = 1
Time 1166: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x048, rL = 1
Time 1168: PC=0x012 instruction = 0x404 (ISZ), rA = 0x048, rL = 1
Time 1170: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 1171: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 1
Time 1173: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 1174: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 1176: PC=0x00F instruction = 0x205 (TAD), rA = 0x03E, rL = 0
Time 1177: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x03E, rL = 0
Time 1179: PC=0x012 instruction = 0x404 (ISZ), rA = 0x03E, rL = 0
Time 1181: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 1182: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 0
Time 1184: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 1185: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 1187: PC=0x00F instruction = 0x205 (TAD), rA = 0x034, rL = 1
Time 1188: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x034, rL = 1
Time 1190: PC=0x012 instruction = 0x404 (ISZ), rA = 0x034, rL = 1
Time 1192: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 1193: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 1
Time 1195: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 1196: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 1198: PC=0x00F instruction = 0x205 (TAD), rA = 0x02A, rL = 0
Time 1199: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x02A, rL = 0
Time 1201: PC=0x012 instruction = 0x404 (ISZ), rA = 0x02A, rL = 0
Time 1203: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 1204: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 0
Time 1206: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 1207: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 1209: PC=0x00F instruction = 0x205 (TAD), rA = 0x020, rL = 1
Time 1210: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x020, rL = 1
Time 1212: PC=0x012 instruction = 0x404 (ISZ), rA = 0x020, rL = 1
Time 1214: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 1215: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 1
Time 1217: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 1218: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 1220: PC=0x00F instruction = 0x205 (TAD), rA = 0x016, rL = 0
Time 1221: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x016, rL = 0
Time 1223: PC=0x012 instruction = 0x404 (ISZ), rA = 0x016, rL = 0
Time 1225: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 1226: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 0
Time 1228: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 1229: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 1231: PC=0x00F instruction = 0x205 (TAD), rA = 0x00C, rL = 1
Time 1232: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x00C, rL = 1
Time 1234: PC=0x012 instruction = 0x404 (ISZ), rA = 0x00C, rL = 1
Time 1236: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 1237: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 1
Time 1239: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 1240: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 1242: PC=0x00F instruction = 0x205 (TAD), rA = 0x002, rL = 0
Time 1243: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x002, rL = 0
Time 1245: PC=0x012 instruction = 0x404 (ISZ), rA = 0x002, rL = 0
Time 1247: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 1248: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 0
Time 1250: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 1251: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 1253: PC=0x00F instruction = 0x205 (TAD), rA = 0xFF8, rL = 0
Time 1254: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0xFF8, rL = 0
Time 1255: PC=0x011 instruction = 0xA15 (JMP), rA = 0xFF8, rL = 0
Time 1256: PC=0x015 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 1258: PC=0x016 instruction = 0x204 (TAD), rA = 0x00E, rL = 0
Time 1260: PC=0x017 instruction = 0xB07 (JMP I), rA = 0x00E, rL = 0
Time 1262: PC=0x032 instruction = 0x629 (DCA), rA = 0x000, rL = 0
Time 1264: PC=0x033 instruction = 0x205 (TAD), rA = 0x002, rL = 0
Time 1267: PC=0x034 instruction = 0x728 (DCA I), rA = 0x000, rL = 0
Time 1269: PC=0x035 instruction = 0x428 (ISZ), rA = 0x000, rL = 0
Time 1271: PC=0x036 instruction = 0x229 (TAD), rA = 0x00E, rL = 0
Time 1272: PC=0x037 instruction = 0xF20 (SZA), rA = 0x00E, rL = 0
Time 1273: PC=0x038 instruction = 0xA31 (JMP), rA = 0x00E, rL = 0
Time 1275: PC=0x031 instruction = 0x807 (JMS), rA = 0x00E, rL = 0
Time 1277: PC=0x008 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 1279: PC=0x009 instruction = 0x604 (DCA), rA = 0x000, rL = 0
Time 1281: PC=0x00A instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 1282: PC=0x00B instruction = 0xFA8 (SZA RSS CLA), rA = 0x000, rL = 0
Time 1284: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 1285: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 1287: PC=0x00F instruction = 0x205 (TAD), rA = 0x004, rL = 1
Time 1288: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x004, rL = 1
Time 1290: PC=0x012 instruction = 0x404 (ISZ), rA = 0x004, rL = 1
Time 1292: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 1293: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 1
Time 1295: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 1296: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 1298: PC=0x00F instruction = 0x205 (TAD), rA = 0xFFA, rL = 1
Time 1299: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0xFFA, rL = 1
Time 1300: PC=0x011 instruction = 0xA15 (JMP), rA = 0xFFA, rL = 1
Time 1301: PC=0x015 instruction = 0xE80 (CLA), rA = 0x000, rL = 1
Time 1303: PC=0x016 instruction = 0x204 (TAD), rA = 0x001, rL = 1
Time 1305: PC=0x017 instruction = 0xB07 (JMP I), rA = 0x001, rL = 1
Time 1307: PC=0x032 instruction = 0x629 (DCA), rA = 0x000, rL = 1
Time 1309: PC=0x033 instruction = 0x205 (TAD), rA = 0x004, rL = 1
Time 1312: PC=0x034 instruction = 0x728 (DCA I), rA = 0x000, rL = 1
Time 1314: PC=0x035 instruction = 0x428 (ISZ), rA = 0x000, rL = 1
Time 1316: PC=0x036 instruction = 0x229 (TAD), rA = 0x001, rL = 1
Time 1317: PC=0x037 instruction = 0xF20 (SZA), rA = 0x001, rL = 1
Time 1318: PC=0x038 instruction = 0xA31 (JMP), rA = 0x001, rL = 1
Time 1320: PC=0x031 instruction = 0x807 (JMS), rA = 0x001, rL = 1
Time 1322: PC=0x008 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 1324: PC=0x009 instruction = 0x604 (DCA), rA = 0x000, rL = 1
Time 1326: PC=0x00A instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 1327: PC=0x00B instruction = 0xFA8 (SZA RSS CLA), rA = 0x000, rL = 1
Time 1329: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 1330: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 1332: PC=0x00F instruction = 0x205 (TAD), rA = 0xFF7, rL = 1
Time 1333: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0xFF7, rL = 1
Time 1334: PC=0x011 instruction = 0xA15 (JMP), rA = 0xFF7, rL = 1
Time 1335: PC=0x015 instruction = 0xE80 (CLA), rA = 0x000, rL = 1
Time 1337: PC=0x016 instruction = 0x204 (TAD), rA = 0x000, rL = 1
Time 1339: PC=0x017 instruction = 0xB07 (JMP I), rA = 0x000, rL = 1
Time 1341: PC=0x032 instruction = 0x629 (DCA), rA = 0x000, rL = 1
Time 1343: PC=0x033 instruction = 0x205 (TAD), rA = 0x001, rL = 1
Time 1346: PC=0x034 instruction = 0x728 (DCA I), rA = 0x000, rL = 1
Time 1348: PC=0x035 instruction = 0x428 (ISZ), rA = 0x000, rL = 1
Time 1350: PC=0x036 instruction = 0x229 (TAD), rA = 0x000, rL = 1
Time 1351: PC=0x037 instruction = 0xF20 (SZA), rA = 0x000, rL = 1
Time 1352: PC=0x039 instruction = 0xEA0 (CLA CMA), rA = 0xFFF, rL = 1
Time 1354: PC=0x03A instruction = 0x228 (TAD), rA = 0x024, rL = 0
Time 1356: PC=0x03B instruction = 0x628 (DCA), rA = 0x000, rL = 0
Time 1359: PC=0x03C instruction = 0x328 (TAD I), rA = 0x001, rL = 0
Time 1361: PC=0x03D instruction = 0x22A (TAD), rA = 0x031, rL = 0
Time 1362: PC=0x03E instruction = 0xC20 (IOT 4), rA = 0x031, rL = 0
Time 1363: PC=0x03F instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 1365: PC=0x040 instruction = 0x228 (TAD), rA = 0x024, rL = 0
Time 1366: PC=0x041 instruction = 0xE21 (CMA IAC), rA = 0xFDC, rL = 0
Time 1368: PC=0x042 instruction = 0x227 (TAD), rA = 0xFFE, rL = 0
Time 1369: PC=0x043 instruction = 0xF20 (SZA), rA = 0xFFE, rL = 0
Time 1370: PC=0x044 instruction = 0xA39 (JMP), rA = 0xFFE, rL = 0
Time 1371: PC=0x039 instruction = 0xEA0 (CLA CMA), rA = 0xFFF, rL = 0
Time 1373: PC=0x03A instruction = 0x228 (TAD), rA = 0x023, rL = 1
Time 1375: PC=0x03B instruction = 0x628 (DCA), rA = 0x000, rL = 1
Time 1378: PC=0x03C instruction = 0x328 (TAD I), rA = 0x004, rL = 1
Time 1380: PC=0x03D instruction = 0x22A (TAD), rA = 0x034, rL = 1
Time 1381: PC=0x03E instruction = 0xC20 (IOT 4), rA = 0x034, rL = 1
Time 1382: PC=0x03F instruction = 0xE80 (CLA), rA = 0x000, rL = 1
Time 1384: PC=0x040 instruction = 0x228 (TAD), rA = 0x023, rL = 1
Time 1385: PC=0x041 instruction = 0xE21 (CMA IAC), rA = 0xFDD, rL = 1
Time 1387: PC=0x042 instruction = 0x227 (TAD), rA = 0xFFF, rL = 1
Time 1388: PC=0x043 instruction = 0xF20 (SZA), rA = 0xFFF, rL = 1
Time 1389: PC=0x044 instruction = 0xA39 (JMP), rA = 0xFFF, rL = 1
Time 1390: PC=0x039 instruction = 0xEA0 (CLA CMA), rA = 0xFFF, rL = 1
Time 1392: PC=0x03A instruction = 0x228 (TAD), rA = 0x022, rL = 0
Time 1394: PC=0x03B instruction = 0x628 (DCA), rA = 0x000, rL = 0
Time 1397: PC=0x03C instruction = 0x328 (TAD I), rA = 0x002, rL = 0
Time 1399: PC=0x03D instruction = 0x22A (TAD), rA = 0x032, rL = 0
Time 1400: PC=0x03E instruction = 0xC20 (IOT 4), rA = 0x032, rL = 0
Time 1401: PC=0x03F instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 1403: PC=0x040 instruction = 0x228 (TAD), rA = 0x022, rL = 0
Time 1404: PC=0x041 instruction = 0xE21 (CMA IAC), rA = 0xFDE, rL = 0
Time 1406: PC=0x042 instruction = 0x227 (TAD), rA = 0x000, rL = 1
Time 1407: PC=0x043 instruction = 0xF20 (SZA), rA = 0x000, rL = 1
Time 1409: PC=0x045 instruction = 0xB2C (JMP I), rA = 0x000, rL = 1
Time 1410: PC=0x09C instruction = 0xEC0 (CLA CLL), rA = 0x000, rL = 0
Time 1412: PC=0x09D instruction = 0x280 (TAD), rA = 0x000, rL = 0
Time 1415: PC=0x09E instruction = 0x382 (TAD I), rA = 0x08E, rL = 0
Time 1417: PC=0x09F instruction = 0x482 (ISZ), rA = 0x08E, rL = 0
Time 1418: PC=0x0A0 instruction = 0xF18 (SNL RSS), rA = 0x08E, rL = 0
Time 1419: PC=0x0A2 instruction = 0xF48 (SMA RSS), rA = 0x08E, rL = 0
Time 1421: PC=0x0A4 instruction = 0x680 (DCA), rA = 0x000, rL = 0
Time 1423: PC=0x0A5 instruction = 0x481 (ISZ), rA = 0x000, rL = 0
Time 1424: PC=0x0A6 instruction = 0xAA8 (JMP), rA = 0x000, rL = 0
Time 1425: PC=0x0A8 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 1427: PC=0x0A9 instruction = 0x200 (TAD), rA = 0x0EC, rL = 0
Time 1429: PC=0x0AA instruction = 0x819 (JMS), rA = 0x0EC, rL = 0
Time 1431: PC=0x01A instruction = 0x618 (DCA), rA = 0x000, rL = 0
Time 1434: PC=0x01B instruction = 0x318 (TAD I), rA = 0x020, rL = 0
Time 1435: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x020, rL = 0
Time 1436: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x020, rL = 0
Time 1438: PC=0x01F instruction = 0x418 (ISZ), rA = 0x020, rL = 0
Time 1439: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 1440: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 1443: PC=0x01B instruction = 0x318 (TAD I), rA = 0x02B, rL = 0
Time 1444: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x02B, rL = 0
Time 1445: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x02B, rL = 0
Time 1447: PC=0x01F instruction = 0x418 (ISZ), rA = 0x02B, rL = 0
Time 1448: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 1449: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 1452: PC=0x01B instruction = 0x318 (TAD I), rA = 0x020, rL = 0
Time 1453: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x020, rL = 0
Time 1454: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x020, rL = 0
Time 1456: PC=0x01F instruction = 0x418 (ISZ), rA = 0x020, rL = 0
Time 1457: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 1458: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 1461: PC=0x01B instruction = 0x318 (TAD I), rA = 0x000, rL = 0
Time 1462: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x000, rL = 0
Time 1464: PC=0x01D instruction = 0xB19 (JMP I), rA = 0x000, rL = 0
Time 1465: PC=0x0AB instruction = 0xA99 (JMP), rA = 0x000, rL = 0
Time 1466: PC=0x099 instruction = 0xEC0 (CLA CLL), rA = 0x000, rL = 0
Time 1469: PC=0x09A instruction = 0x382 (TAD I), rA = 0x0A1, rL = 0
Time 1471: PC=0x09B instruction = 0x82C (JMS), rA = 0x0A1, rL = 0
Time 1473: PC=0x02D instruction = 0x629 (DCA), rA = 0x000, rL = 0
Time 1475: PC=0x02E instruction = 0x22B (TAD), rA = 0x00A, rL = 0
Time 1477: PC=0x02F instruction = 0x606 (DCA), rA = 0x000, rL = 0
Time 1479: PC=0x030 instruction = 0x229 (TAD), rA = 0x0A1, rL = 0
Time 1481: PC=0x031 instruction = 0x807 (JMS), rA = 0x0A1, rL = 0
Time 1483: PC=0x008 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 1485: PC=0x009 instruction = 0x604 (DCA), rA = 0x000, rL = 0
Time 1487: PC=0x00A instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 1488: PC=0x00B instruction = 0xFA8 (SZA RSS CLA), rA = 0x000, rL = 0
Time 1490: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 1491: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 1493: PC=0x00F instruction = 0x205 (TAD), rA = 0x097, rL = 1
Time 1494: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x097, rL = 1
Time 1496: PC=0x012 instruction = 0x404 (ISZ), rA = 0x097, rL = 1
Time 1498: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 1499: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 1
Time 1501: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 1502: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 1504: PC=0x00F instruction = 0x205 (TAD), rA = 0x08D, rL = 0
Time 1505: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x08D, rL = 0
Time 1507: PC=0x012 instruction = 0x404 (ISZ), rA = 0x08D, rL = 0
Time 1509: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 1510: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 0
Time 1512: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 1513: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 1515: PC=0x00F instruction = 0x205 (TAD), rA = 0x083, rL = 1
Time 1516: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x083, rL = 1
Time 1518: PC=0x012 instruction = 0x404 (ISZ), rA = 0x083, rL = 1
Time 1520: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 1521: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 1
Time 1523: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 1524: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 1526: PC=0x00F instruction = 0x205 (TAD), rA = 0x079, rL = 0
Time 1527: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x079, rL = 0
Time 1529: PC=0x012 instruction = 0x404 (ISZ), rA = 0x079, rL = 0
Time 1531: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 1532: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 0
Time 1534: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 1535: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 1537: PC=0x00F instruction = 0x205 (TAD), rA = 0x06F, rL = 1
Time 1538: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x06F, rL = 1
Time 1540: PC=0x012 instruction = 0x404 (ISZ), rA = 0x06F, rL = 1
Time 1542: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 1543: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 1
Time 1545: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 1546: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 1548: PC=0x00F instruction = 0x205 (TAD), rA = 0x065, rL = 0
Time 1549: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x065, rL = 0
Time 1551: PC=0x012 instruction = 0x404 (ISZ), rA = 0x065, rL = 0
Time 1553: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 1554: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 0
Time 1556: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 1557: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 1559: PC=0x00F instruction = 0x205 (TAD), rA = 0x05B, rL = 1
Time 1560: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x05B, rL = 1
Time 1562: PC=0x012 instruction = 0x404 (ISZ), rA = 0x05B, rL = 1
Time 1564: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 1565: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 1
Time 1567: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 1568: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 1570: PC=0x00F instruction = 0x205 (TAD), rA = 0x051, rL = 0
Time 1571: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x051, rL = 0
Time 1573: PC=0x012 instruction = 0x404 (ISZ), rA = 0x051, rL = 0
Time 1575: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 1576: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 0
Time 1578: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 1579: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 1581: PC=0x00F instruction = 0x205 (TAD), rA = 0x047, rL = 1
Time 1582: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x047, rL = 1
Time 1584: PC=0x012 instruction = 0x404 (ISZ), rA = 0x047, rL = 1
Time 1586: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 1587: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 1
Time 1589: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 1590: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 1592: PC=0x00F instruction = 0x205 (TAD), rA = 0x03D, rL = 0
Time 1593: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x03D, rL = 0
Time 1595: PC=0x012 instruction = 0x404 (ISZ), rA = 0x03D, rL = 0
Time 1597: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 1598: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 0
Time 1600: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 1601: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 1603: PC=0x00F instruction = 0x205 (TAD), rA = 0x033, rL = 1
Time 1604: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x033, rL = 1
Time 1606: PC=0x012 instruction = 0x404 (ISZ), rA = 0x033, rL = 1
Time 1608: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 1609: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 1
Time 1611: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 1612: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 1614: PC=0x00F instruction = 0x205 (TAD), rA = 0x029, rL = 0
Time 1615: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x029, rL = 0
Time 1617: PC=0x012 instruction = 0x404 (ISZ), rA = 0x029, rL = 0
Time 1619: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 1620: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 0
Time 1622: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 1623: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 1625: PC=0x00F instruction = 0x205 (TAD), rA = 0x01F, rL = 1
Time 1626: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x01F, rL = 1
Time 1628: PC=0x012 instruction = 0x404 (ISZ), rA = 0x01F, rL = 1
Time 1630: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 1631: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 1
Time 1633: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 1634: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 1636: PC=0x00F instruction = 0x205 (TAD), rA = 0x015, rL = 0
Time 1637: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x015, rL = 0
Time 1639: PC=0x012 instruction = 0x404 (ISZ), rA = 0x015, rL = 0
Time 1641: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 1642: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 0
Time 1644: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 1645: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 1647: PC=0x00F instruction = 0x205 (TAD), rA = 0x00B, rL = 1
Time 1648: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x00B, rL = 1
Time 1650: PC=0x012 instruction = 0x404 (ISZ), rA = 0x00B, rL = 1
Time 1652: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 1
Time 1653: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 1
Time 1655: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 1
Time 1656: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 1
Time 1658: PC=0x00F instruction = 0x205 (TAD), rA = 0x001, rL = 0
Time 1659: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0x001, rL = 0
Time 1661: PC=0x012 instruction = 0x404 (ISZ), rA = 0x001, rL = 0
Time 1663: PC=0x013 instruction = 0x605 (DCA), rA = 0x000, rL = 0
Time 1664: PC=0x014 instruction = 0xA0D (JMP), rA = 0x000, rL = 0
Time 1666: PC=0x00D instruction = 0x206 (TAD), rA = 0x00A, rL = 0
Time 1667: PC=0x00E instruction = 0xE21 (CMA IAC), rA = 0xFF6, rL = 0
Time 1669: PC=0x00F instruction = 0x205 (TAD), rA = 0xFF7, rL = 0
Time 1670: PC=0x010 instruction = 0xF48 (SMA RSS), rA = 0xFF7, rL = 0
Time 1671: PC=0x011 instruction = 0xA15 (JMP), rA = 0xFF7, rL = 0
Time 1672: PC=0x015 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 1674: PC=0x016 instruction = 0x204 (TAD), rA = 0x010, rL = 0
